연번,시도명,시군구명,법정동명,관리번호,시설물명,세부위치,위도,경도,데이터기준일자,이미지명,비고
515,경기도,성남시 중원구,상대원동,성남-rtbs-329,가로수,타이어프로 맞은편,37.432102,127.167282,2022.10.21,성남-rtbs-329-02.jpeg,
516,경기도,성남시 중원구,상대원동,성남-rtbs-329,가로등,타이어프로 맞은편,37.432077,127.167321,2022.10.21,성남-rtbs-329-03.jpeg,
517,경기도,성남시 중원구,상대원동,성남-rtbs-330,신호등,성남성심연합영상의원 앞,37.433572,127.160106,2022.10.27,성남-rtbs-330-01.jpeg,
518,경기도,성남시 중원구,상대원동,성남-rtbs-330,가로등,성남성심연합영상의원 앞,37.433576,127.160084,2022.10.27,성남-rtbs-330-02.jpeg,
519,경기도,성남시 중원구,상대원동,성남-rtbs-330,가로수,성남성심연합영상의원 앞,37.433605,127.160002,2022.10.27,성남-rtbs-330-03.jpeg,
520,경기도,성남시 중원구,상대원동,성남-rtbs-330,가로등,성남성심연합영상의원 앞,37.433614,127.159982,2022.10.27,성남-rtbs-330-04.jpeg,
521,경기도,성남시 중원구,상대원동,성남-rtbs-330,교통신호제어기,성남성심연합영상의원 앞,37.433628,127.159948,2022.10.27,성남-rtbs-330-05.jpeg,
522,경기도,성남시 중원구,상대원동,성남-rtbs-330,가로수,성남성심연합영상의원 앞,37.433644,127.159921,2022.10.27,성남-rtbs-330-06.jpeg,
523,경기도,성남시 중원구,상대원동,성남-rtbs-330,가로등,성남성심연합영상의원 앞,37.433657,127.159895,2022.10.27,성남-rtbs-330-07.jpeg,
524,경기도,성남시 중원구,상대원동,성남-rtbs-330,얇은 가로등,성남성심연합영상의원 앞,37.433666,127.159875,2022.10.27,성남-rtbs-330-08.jpeg,
525,경기도,성남시 수정구,시흥동,성남-rtbs-331,CCTV,대지공인중개사사무소 앞,37.422199,127.105101,2022.10.19,성남-rtbs-331-01.jpeg,
526,경기도,성남시 수정구,시흥동,성남-rtbs-331,전봇대,대지공인중개사사무소 앞,37.422197,127.105124,2022.10.19,성남-rtbs-331-02.jpeg,
527,경기도,성남시 수정구,시흥동,성남-rtbs-331,기둥,대지공인중개사사무소 앞,37.422197,127.105138,2022.10.19,성남-rtbs-331-03.jpeg,
528,경기도,성남시 수정구,시흥동,성남-rtbs-332,전봇대,스퀘어스포츠 앞,37.420601,127.101936,2022.10.19,성남-rtbs-332-01.jpeg,
529,경기도,성남시 수정구,시흥동,성남-rtbs-332,가로등,스퀘어스포츠 앞,37.420614,127.101933,2022.10.19,성남-rtbs-332-02.jpeg,
530,경기도,성남시 수정구,시흥동,성남-rtbs-332,신호등,스퀘어스포츠 앞,37.420628,127.101927,2022.10.19,성남-rtbs-332-03.jpeg,
531,경기도,성남시 수정구,신촌동,성남-rtbs-334,전신주,줄리스리얼티앤리로케이션부동산중개법인 앞,37.458227,127.107155,2022.10.19,성남-rtbs-334-01.jpeg,
532,경기도,성남시 수정구,신흥동,성남-rtbs-336,차양막,두산아파트 103동 뒷편,37.444868,127.148248,2022.10.20,성남-rtbs-336-01.jpeg,
533,경기도,성남시 수정구,신흥동,성남-rtbs-336,가로등,두산아파트 103동 뒷편,37.444879,127.148234,2022.10.20,성남-rtbs-336-02.jpeg,
534,경기도,성남시 수정구,신흥동,성남-rtbs-336,가로수,두산아파트 103동 뒷편,37.444888,127.148217,2022.10.20,성남-rtbs-336-03.jpeg,
535,경기도,성남시 수정구,신흥동,성남-rtbs-336,보안등,두산아파트 103동 뒷편,37.444897,127.148191,2022.10.20,성남-rtbs-336-04.jpeg,
536,경기도,성남시 수정구,신흥동,성남-rtbs-337,상수도 구역유량계,성남북초등학교 건너편,37.451727,127.149925,2022.10.26,성남-rtbs-337-01.jpeg,
537,경기도,성남시 수정구,신흥동,성남-rtbs-337,전신주,성남북초등학교 건너편,37.451731,127.149934,2022.10.26,성남-rtbs-337-02.jpeg,
538,경기도,성남시 수정구,신흥동,성남-rtbs-337,가로수,성남북초등학교 건너편,37.451727,127.149954,2022.10.26,성남-rtbs-337-03.jpeg,
539,경기도,성남시 수정구,신흥동,성남-rtbs-337,신호등,성남북초등학교 건너편,37.451715,127.149965,2022.10.26,성남-rtbs-337-04.jpeg,
